"ObjectName";"Id";"Type";"Property";"Value1";"Value2";"Match"
"Win - OIB - SC - Microsoft OneDrive - D - Configuration - v3.2";"4f314fd8-daf5-4434-a9b3-d4b53b08e0f7";"Settings Catalog";;;"Win - OIB - SC - Microsoft OneDrive - D - Configuration - v3.2";"False"
"Win - OIB - SC - Microsoft OneDrive - U - Configuration - v3.0";"34a84188-08f4-4d5c-a69e-eae2a1d297ca";"Settings Catalog";;;"Win - OIB - SC - Microsoft OneDrive - U - Configuration - v3.0";"False"
"Win - OIB - SC - Microsoft Store - D - Configuration - v3.4";"3eeff8d3-f460-4e40-96f5-2e398d000bf0";"Settings Catalog";;;"Win - OIB - SC - Microsoft Store - D - Configuration - v3.4";"False"
"Win - OIB - SC - Microsoft Store - U - Configuration - v3.3";"9a25c85c-8a8e-43af-a956-2d2ef8aa2068";"Settings Catalog";;;"Win - OIB - SC - Microsoft Store - U - Configuration - v3.3";"False"
"Win - OIB - SC - Windows Hello for Business - D - Cloud Kerberos Trust - v3.5";"7025b793-24c7-4416-bc84-55fb9cd94c92";"Settings Catalog";;;"Win - OIB - SC - Windows Hello for Business - D - Cloud Kerberos Trust - v3.5";"False"
"Win - OIB - SC - Windows Update for Business - D - Delivery Optimisation - v3.0";"f798c532-78d5-45b6-805b-0cb9aa8edf53";"Settings Catalog";;;"Win - OIB - SC - Windows Update for Business - D - Delivery Optimisation - v3.0";"False"
"Win - OIB - SC - Windows Update for Business - D - Reports and Telemetry - v3.0";"8f55652c-7141-4e2d-b398-e6c7d78fdcf4";"Settings Catalog";;;"Win - OIB - SC - Windows Update for Business - D - Reports and Telemetry - v3.0";"False"
"Win - OIB - SC - Windows Update for Business - D - Restart Warnings - v3.1";"06f1e3a4-3a3d-4da3-92d2-33e7f102a587";"Settings Catalog";;;"Win - OIB - SC - Windows Update for Business - D - Restart Warnings - v3.1";"False"
"Win - OIB - SC - Windows User Experience - D - Feature Configuration - v3.1";"8bb5e566-a444-472f-986c-ce650aa67317";"Settings Catalog";;;"Win - OIB - SC - Windows User Experience - D - Feature Configuration - v3.1";"False"
"Win - OIB - SC - Windows User Experience - U - Copilot - v3.6";"a48b98ee-84b8-4010-9a4c-65741327dbf7";"Settings Catalog";;;"Win - OIB - SC - Windows User Experience - U - Copilot - v3.6";"False"
