"ObjectName";"Id";"Type";"Property";"Value1";"Value2";"Match"
"Win - OIB - WUfB - Ring 1 - Pilot - v3.0";"cf546956-d0ec-4bed-834c-c096c6feea9e";"Update Policies";;;"Win - OIB - WUfB - Ring 1 - Pilot - v3.0";"False"
"Win - OIB - WUfB - Ring 2 - UAT - v3.0";"042689f5-16b2-4a4b-a4f6-c745fe355b97";"Update Policies";;;"Win - OIB - WUfB - Ring 2 - UAT - v3.0";"False"
"Win - OIB - WUfB - Ring 3 - Production - v3.0";"0bc4a0d7-f742-4266-b995-63500e21e53b";"Update Policies";;;"Win - OIB - WUfB - Ring 3 - Production - v3.0";"False"
