"ObjectName";"Id";"Type";"Property";"Value1";"Value2";"Match"
"Win - OIB - WUfB Drivers - Ring 1 - Pilot - v3.0";"20572f16-c163-459f-9b9a-d521de925793";"Driver Update Profiles";;;"Win - OIB - WUfB Drivers - Ring 1 - Pilot - v3.0";"False"
"Win - OIB - WUfB Drivers - Ring 2 - UAT - v3.0";"dcab2d75-347b-4a7f-bc35-4580493e8c0c";"Driver Update Profiles";;;"Win - OIB - WUfB Drivers - Ring 2 - UAT - v3.0";"False"
"Win - OIB - WUfB Drivers - Ring 3 - Production - v3.0";"38698251-586e-4376-ba32-3bce3aae4f63";"Driver Update Profiles";;;"Win - OIB - WUfB Drivers - Ring 3 - Production - v3.0";"False"
